mAP after 0 iterations:2.275265258914123, loss: 93016.10106466759
mAP after 2000 iterations:0.44766494871879625, loss: 4.444139006128832
mAP after 4000 iterations:0.6587947503330285, loss: 4.186576147700826
mAP after 6000 iterations:1.3223456317582531, loss: 4.131567125961211
mAP after 8000 iterations:2.1335427656132886, loss: 4.112135043145613
mAP after 10000 iterations:3.5783311612052477, loss: 4.093706704715159
mAP after 12000 iterations:6.009419910472653, loss: 4.06188737724568
mAP after 0 iterations:1.7795294465694729, loss: 437904.97835272254
mAP after 2000 iterations:0.35219520201697685, loss: 4.4066576501045756
mAP after 4000 iterations:0.6705374996281567, loss: 4.182119708402064
mAP after 0 iterations:2.2123908423364305, loss: 10174356.38292612
mAP after 0 iterations:3.7415841788190143, loss: 174.22965815235113
mAP after 0 iterations:4.07984051140216, loss: 266.8796542768495
mAP after 0 iterations:5.317659009561883, loss: 213.61328268800105
mAP after 2000 iterations:13.419010264780232, loss: 11.244817848327619
mAP after 4000 iterations:35.829555605235754, loss: 5.468328864301201
mAP after 6000 iterations:59.81735978508684, loss: 4.067846612433766
mAP after 8000 iterations:65.77442856348706, loss: 3.3985206556569842
mAP after 10000 iterations:70.51609153309872, loss: 3.4797683853684225
mAP after 0 iterations:1.4227132391738289, loss: tensor(0.0198, grad_fn=<DivBackward0>)
mAP after 2000 iterations:6.032382248295058, loss: tensor(0.0011, grad_fn=<DivBackward0>)
mAP after 0 iterations:0.8145645407262578, loss: 938630.258725
mAP after 0 iterations:2.0053204178042785, loss: 74.42973839014748
mAP after 2000 iterations:9.181835777670363, loss: 4.422504053204616
mAP after 4000 iterations:28.414623887523472, loss: 4.058268639956745
mAP after 6000 iterations:53.79301540957366, loss: 3.8573003394025323
mAP after 8000 iterations:57.36054946491601, loss: 3.892208429031968
mAP after 10000 iterations:59.20118832214665, loss: 4.208527382048426
mAP after 12000 iterations:61.58340415033352, loss: 4.273370664046209
mAP after 14000 iterations:62.994857839896376, loss: 4.640098318282498
mAP after 16000 iterations:64.36013214431613, loss: 4.687391256759025
mAP after 18000 iterations:65.73608529256538, loss: 4.834918763472497
mAP after 20000 iterations:64.33711002629792, loss: 4.722935907656262
mAP after 22000 iterations:65.34732549271422, loss: 4.68545778183274
mAP after 24000 iterations:66.85418712328816, loss: 4.836436023665004
mAP after 26000 iterations:67.35773925020304, loss: 4.896102725495565
mAP after 28000 iterations:66.12103064246168, loss: 5.199392182810354
mAP after 30000 iterations:67.15135417065524, loss: 5.376831756794843
mAP after 32000 iterations:68.46722217630992, loss: 5.580535987929736
mAP after 34000 iterations:68.01633292983996, loss: 5.277692447650426
mAP after 36000 iterations:65.77571914735857, loss: 5.315981739062508
mAP after 38000 iterations:67.19981720946971, loss: 5.284225559532801
mAP after 40000 iterations:68.51935868547689, loss: 5.570729002701524
mAP after 42000 iterations:67.04346809410899, loss: 5.469368147295248
mAP after 44000 iterations:67.70490309613577, loss: 5.736536144010546
mAP after 46000 iterations:68.12068007440544, loss: 5.649785796544661
mAP after 48000 iterations:67.31362408120683, loss: 5.645875099538853
mAP after 50000 iterations:66.92842938350782, loss: 5.93780348665011
mAP after 52000 iterations:67.2153348060365, loss: 5.568937483646629
mAP after 54000 iterations:68.93143091559105, loss: 5.542492620240403
mAP after 56000 iterations:68.62204874021815, loss: 5.678940551609677
mAP after 58000 iterations:69.26259313354701, loss: 5.875367935734333
mAP after 60000 iterations:67.8253580900397, loss: 6.342053069979586
mAP after 62000 iterations:70.71437229032372, loss: 6.278682436528347
mAP after 64000 iterations:70.52780073094863, loss: 6.487394501075557
mAP after 66000 iterations:70.55052307008759, loss: 6.6045698499180245
mAP after 68000 iterations:70.66458076195975, loss: 6.660714140022954
mAP after 70000 iterations:70.82159825282831, loss: 6.730881101472079
mAP after 72000 iterations:70.7203247021182, loss: 6.718956860523724
mAP after 74000 iterations:71.2967124725192, loss: 6.769574197674305
mAP after 76000 iterations:70.83676557305918, loss: 6.919643705691489
mAP after 78000 iterations:71.116910073686, loss: 7.121589586719508
mAP after 80000 iterations:70.80247331201845, loss: 7.311404930359405
mAP after 82000 iterations:70.94071961770877, loss: 7.2062886465490354
mAP after 84000 iterations:70.83665980097707, loss: 7.158808449709954
mAP after 86000 iterations:71.18693517277578, loss: 7.2829758153431765
mAP after 88000 iterations:70.80048049685664, loss: 7.346100773722581
mAP after 90000 iterations:70.87162139870354, loss: 7.406757324112233
mAP after 92000 iterations:71.10149272971216, loss: 7.187766337783057
mAP after 94000 iterations:70.84336918444436, loss: 7.512494662582639
mAP after 96000 iterations:70.90320604137911, loss: 7.693921501748153
mAP after 98000 iterations:70.79935012218448, loss: 7.61951716190649
mAP after 100000 iterations:70.88832832657074, loss: 7.640897070720075
mAP after 102000 iterations:71.31639808568387, loss: 7.685906534662366
mAP after 104000 iterations:70.80464186371117, loss: 7.7968976516963595
mAP after 106000 iterations:71.13790138132386, loss: 7.972131105770269
mAP after 108000 iterations:71.2791680272546, loss: 7.76563815094136
mAP after 110000 iterations:71.01022105492622, loss: 7.950562283214697
mAP after 112000 iterations:70.5768349214804, loss: 7.640349695674195
mAP after 114000 iterations:70.74317897917533, loss: 8.132950312131507
mAP after 116000 iterations:70.95055695798342, loss: 8.058320019132802
mAP after 118000 iterations:71.00132396941981, loss: 7.844801255850818
mAP after 120000 iterations:71.30950618457635, loss: 8.034155966768855
mAP after 122000 iterations:70.9662017375181, loss: 7.961338081798161
mAP after 124000 iterations:70.7338999160459, loss: 8.11247903124547
mAP after 126000 iterations:70.69157123586652, loss: 8.289296054118864
mAP after 128000 iterations:71.18586675817784, loss: 8.132609611004145
mAP after 130000 iterations:71.0580728505648, loss: 8.301752024972204
mAP after 132000 iterations:71.37375529610462, loss: 8.267065716042914
mAP after 134000 iterations:71.19057100794457, loss: 8.03451422796547
mAP after 136000 iterations:70.81413768977625, loss: 8.246555149159928
mAP after 138000 iterations:70.63599711431917, loss: 8.26890079377348
mAP after 140000 iterations:71.07401593412781, loss: 8.3380526721304
mAP after 142000 iterations:70.77688963874597, loss: 8.46143488381546
mAP after 144000 iterations:70.70309194450107, loss: 8.55865531543996
mAP after 146000 iterations:71.14493074274588, loss: 8.394101681405559
mAP after 148000 iterations:71.2293446166966, loss: 8.524881662099855
mAP after 0 iterations:1.1912909335437483, loss: 88.86348202512856
mAP after 2000 iterations:7.164197913401621, loss: 4.415967018788755
